,PANDAID,MODIFTIME_EXTENDED,PRE-FAILED/FAILED,COMPUTINGSITE,MODIFICATIONHOST,ATTEMPTNR,FINAL_STATUS,START_TS,END_TS,DURATION
462,4729445880,2020-05-18 18:29:34.941854,holding,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-18 18:29:34.941854,2020-05-18 18:35:03.981370,0.09139986555555556
473,4729445884,2020-05-21 23:10:16.056670,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 23:10:16.056670,2020-05-21 23:10:16.056670,0.0
472,4729445884,2020-05-21 23:06:23.347236,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 23:06:23.347236,2020-05-21 23:10:16.056670,0.06464150944444445
484,4729445886,2020-05-21 12:20:54.902976,failed,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-21 12:20:54.902976,2020-05-21 12:20:54.902976,0.0
483,4729445886,2020-05-21 12:16:00.914665,holding,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-21 12:16:00.914665,2020-05-21 12:20:54.902976,0.08166341972222221
492,4729445888,2020-05-25 12:26:03.756828,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:03.756828,2020-05-25 12:26:03.761337,1.2524999999999999e-06
493,4729445888,2020-05-25 12:26:03.761337,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 12:26:03.761337,2020-05-25 12:26:03.761337,0.0
491,4729445888,2020-05-20 20:25:04.383322,running,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-20 20:25:04.383322,2020-05-25 12:26:03.756828,112.01649264055555
503,4729445892,2020-05-21 10:17:46.140109,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-21 10:17:46.140109,2020-05-21 10:17:46.140109,0.0
502,4729445892,2020-05-21 10:14:33.448860,holding,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-21 10:14:33.448860,2020-05-21 10:17:46.140109,0.05352534694444444
511,4729445894,2020-05-25 09:32:34.654651,failed,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-25 09:32:34.654651,2020-05-25 09:32:34.654651,0.0
512,4729445894,2020-05-25 09:27:58.501993,holding,ANALY_DCSC,aipanda054.cern.ch,1,failed,2020-05-25 09:27:58.501993,2020-05-25 09:32:34.654651,0.07670907166666668
523,4729445897,2020-05-21 12:39:42.659531,failed,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-21 12:39:42.659531,2020-05-21 12:39:42.659531,0.0
522,4729445897,2020-05-21 12:33:10.731508,holding,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-21 12:33:10.731508,2020-05-21 12:39:42.659531,0.10886889527777778
533,4729445899,2020-05-20 23:20:32.726992,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-20 23:20:32.726992,2020-05-20 23:20:32.726992,0.0
532,4729445899,2020-05-20 23:13:53.292114,holding,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-20 23:13:53.292114,2020-05-20 23:20:32.726992,0.1109541327777778
542,4729445900,2020-05-21 23:10:16.620973,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 23:10:16.620973,2020-05-21 23:10:16.620973,0.0
541,4729445900,2020-05-21 23:06:23.378838,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 23:06:23.378838,2020-05-21 23:10:16.620973,0.06478948194444445
552,4729445903,2020-05-25 13:04:52.687926,failed,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-25 13:04:52.687926,2020-05-25 13:04:52.687926,0.0
